date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:01	53976/53976	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a32dbb5-d2d8%22	http://cdn2.editmysite.com/fonts/Crimson_Text/regular.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/regular.ttf	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:04	26052/26052	---M--	200	added ('OK')	font/woff2	etag:%226a3bef99-65c4%22	http://cdn2.editmysite.com/fonts/Crimson_Text/italic.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/italic.woff2	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:04	29325/29325	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3b03b6-728d%22	http://cdn2.editmysite.com/fonts/Crimson_Text/italic.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/italic.eot	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:06	30756/30756	---M--	200	added ('OK')	font/woff	etag:%226a3bef99-7824%22	http://cdn2.editmysite.com/fonts/Crimson_Text/italic.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/italic.woff	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:09	29325/29325	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb5-728d%22	http://cdn2.editmysite.com/fonts/Crimson_Text/italic.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/italicd41d.eot	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:09	53924/53924	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3b03b6-d2a4%22	http://cdn2.editmysite.com/fonts/Crimson_Text/italic.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/italic.ttf	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:11	28713/28713	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef99-7029%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bold.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bold.eot	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:13	25540/25540	---M--	200	added ('OK')	font/woff2	etag:%226a32dbb5-63c4%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bold.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bold.woff2	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:14	28713/28713	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb5-7029%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bold.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:15	30080/30080	---M--	200	added ('OK')	font/woff	etag:%226a3bef99-7580%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bold.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bold.woff	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:18	55940/55940	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3bef99-da84%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bold.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bold.ttf	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:19	29954/29954	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb5-7502%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.eot	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:20	26612/26612	---M--	200	added ('OK')	font/woff2	etag:%226a3b03b6-67f4%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.woff2	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:23	29954/29954	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb5-7502%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bolditalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:24	31388/31388	---M--	200	added ('OK')	font/woff	etag:%226a3bef99-7a9c%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.woff	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:25	57576/57576	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3bef99-e0e8%22	http://cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Crimson_Text/bolditalic.ttf	(from http://cdn2.editmysite.com/fonts/Crimson_Text/font.css?2)
00:51:26	672468/672468	---M--	200	added ('OK')	image/jpeg	etag:%220c3ee145b9c6e10fc4f441795634da73%22	https://ruixiangfloor.weebly.com/files/theme/images/default-bg.jpg?1780842181	d:/My%20Websites/ruixiangfloor/ruixiangfloor.weebly.com/files/theme/images/default-bg90a7.jpg	(from https://ruixiangfloor.weebly.com/files/main_style.css?1780842181)
00:51:26	14782/14782	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb6-39be%22	http://cdn2.editmysite.com/fonts/Montserrat/regular.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/regular.eot	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:26	12708/12708	---M--	200	added ('OK')	font/woff2	etag:%226a32dbb6-31a4%22	http://cdn2.editmysite.com/fonts/Montserrat/regular.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/regular.woff2	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:27	15932/15932	---M--	200	added ('OK')	font/woff	etag:%226a3bef99-3e3c%22	http://cdn2.editmysite.com/fonts/Montserrat/regular.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/regular.woff	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:29	14782/14782	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb6-39be%22	http://cdn2.editmysite.com/fonts/Montserrat/regular.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:29	31428/31428	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3bef99-7ac4%22	http://cdn2.editmysite.com/fonts/Montserrat/regular.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/regular.ttf	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:29	15000/15000	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef99-3a98%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/bold.eot	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
